Number of devices,Interaction,Signals,Successful rate
2,242.0,1170.0,66.071429
3,363.0,1755.0,66.071429
4,482.0,2330.0,66.071429
5,714.0,3450.0,66.369048
6,868.0,4060.0,66.326531
7,868.0,4060.0,66.326531
