Number of devices,Interaction,Signals,Successful rate
1,96.0,480.0,73.214286
2,188.0,940.0,73.511905
3,296.0,1480.0,72.222222
4,420.0,2100.0,70.238095
5,540.0,2700.0,69.404762
6,658.0,3290.0,68.849206
7,774.0,3870.0,68.622449
