Number of devices,Interaction,Signals,Successful rate
1,96.0,480.0,73.214286
2,210.0,1050.0,70.238095
3,312.0,1560.0,70.634921
4,408.0,2040.0,71.130952
5,534.0,2670.0,69.761905
6,630.0,3150.0,70.238095
7,750.0,3750.0,69.642857
