Number of devices,Interaction,Signals,Successful rate
1,120.0,600.0,66.071429
2,232.0,1160.0,66.964286
3,348.0,1740.0,67.063492
4,448.0,2240.0,68.154762
5,570.0,2850.0,67.619048
6,686.0,3430.0,67.460317
7,788.0,3940.0,68.027211
