Number of devices,Interaction,Signals,Successful rate
1,118.0,590.0,66.666667
2,230.0,1150.0,67.261905
3,358.0,1790.0,66.071429
4,456.0,2280.0,67.559524
5,574.0,2870.0,67.380952
6,670.0,3350.0,68.253968
7,796.0,3980.0,67.687075
