Number of devices,Interaction,Signals,Successful rate
1,116.0,580.0,67.261905
2,216.0,1080.0,69.345238
3,322.0,1610.0,69.642857
4,420.0,2100.0,70.238095
5,516.0,2580.0,70.833333
6,608.0,3040.0,71.329365
7,726.0,3630.0,70.663265
