Number of devices,Interaction,Signals,Successful rate
1,120.0,600.0,66.071429
2,236.0,1180.0,66.369048
3,352.0,1760.0,66.666667
4,450.0,2250.0,68.005952
5,552.0,2760.0,68.690476
6,648.0,3240.0,69.345238
7,746.0,3730.0,69.812925
