Number of devices,Interaction,Signals,Successful rate
1,116.0,580.0,67.261905
2,226.0,1130.0,67.857143
3,328.0,1640.0,69.047619
4,448.0,2240.0,68.154762
5,552.0,2760.0,68.690476
6,662.0,3310.0,68.650794
7,772.0,3860.0,68.707483
