Number of devices,Interaction,Signals,Successful rate
1,120.0,600.0,66.071429
2,224.0,1120.0,68.154762
3,332.0,1660.0,68.650794
4,432.0,2160.0,69.345238
5,546.0,2730.0,69.047619
6,646.0,3230.0,69.444444
7,748.0,3740.0,69.727891
