Number of devices,Interaction,Signals,Successful rate
1,98.0,490.0,72.619048
2,216.0,1080.0,69.345238
3,342.0,1710.0,67.65873
4,452.0,2260.0,67.857143
5,558.0,2790.0,68.333333
6,656.0,3280.0,68.948413
7,754.0,3770.0,69.472789
