Number of devices,Interaction,Signals,Successful rate
1,118.0,590.0,66.666667
2,216.0,1080.0,69.345238
3,340.0,1700.0,67.857143
4,458.0,2290.0,67.410714
5,578.0,2890.0,67.142857
6,678.0,3390.0,67.857143
7,800.0,4000.0,67.517007
