Default GU,Interaction,Signals,Successful rate
1,3601.0,13191.0,68.112245
5,2285.0,6693.0,68.027211
10,2111.0,5823.0,68.027211
30,1981.0,5173.0,68.622449
35,1957.0,5053.0,69.217687
40,1967.0,5103.0,68.537415
50,1951.0,5023.0,68.877551
250,2303.0,6783.0,52.721088
500,2857.0,9553.0,28.996599
1000,3189.0,11213.0,14.795918
