Default GU,Interaction,Signals,Successful rate
1,3583.0,13121.0,69.727891
5,2245.0,6493.0,69.727891
10,2065.0,5593.0,69.982993
30,1937.0,4953.0,70.493197
35,1949.0,5013.0,69.557823
40,1921.0,4873.0,70.493197
50,1939.0,4963.0,69.387755
250,2285.0,6693.0,53.486395
500,2857.0,9553.0,28.996599
1000,3189.0,11213.0,14.795918
