Default GU,Interaction,Signals,Successful rate
1,3606.0,13213.0,67.772109
5,2291.0,6723.0,67.772109
10,2117.0,5853.0,67.772109
30,1975.0,5143.0,68.877551
35,1983.0,5183.0,68.112245
40,1959.0,5063.0,68.877551
50,1975.0,5143.0,67.857143
250,2307.0,6803.0,52.55102
500,2857.0,9553.0,28.996599
1000,3189.0,11213.0,14.795918
