Default GU,Interaction,Signals,Successful rate
1,1.0,11993.16,68.54506806999999
5,5.0,5447.8,68.55612248999999
10,9.91,4641.8,68.64030615000003
50,49.55,3877.0,68.69642857999999
250,247.6,5561.2,53.12244882999998
500,495.5,8325.0,29.392857500000034
1000,992.5,9985.7,15.175169700000025
2000,1985.0,10013.4,14.937924810000021
