Default GU,Interaction,Signals,Successful rate
1,3601.0,13193.0,68.197279
5,2279.0,6663.0,68.282313
10,2101.0,5773.0,68.452381
30,1967.0,5103.0,69.217687
35,1975.0,5143.0,68.452381
40,1951.0,5023.0,69.217687
50,1965.0,5093.0,68.282313
250,2307.0,6803.0,52.55102
500,2857.0,9553.0,28.996599
1000,3189.0,11213.0,14.795918
