Default GU,Interaction,Signals,Successful rate
1,3591.0,13153.0,69.047619
5,2261.0,6573.0,69.047619
10,2081.0,5673.0,69.302721
30,1961.0,5073.0,69.472789
35,1939.0,4963.0,69.982993
40,1945.0,4993.0,69.472789
50,1941.0,4973.0,69.302721
250,2303.0,6783.0,52.721088
500,2857.0,9553.0,28.996599
1000,3189.0,11213.0,14.795918
