Default GU,Interaction,Signals,Successful rate
1,3600.0,13187.0,68.112245
5,2279.0,6663.0,68.282313
10,2103.0,5783.0,68.367347
30,1973.0,5133.0,68.962585
35,1971.0,5123.0,68.622449
40,1955.0,5043.0,69.047619
50,1963.0,5083.0,68.367347
250,2283.0,6683.0,53.571429
500,2857.0,9553.0,28.996599
1000,3189.0,11213.0,14.795918
