Default GU,Interaction,Signals,Successful rate
1,3568.0,13061.0,71.003401
5,2215.0,6343.0,71.003401
10,2041.0,5473.0,71.003401
30,1927.0,4903.0,70.918367
35,1911.0,4823.0,71.173469
40,1917.0,4853.0,70.663265
50,1901.0,4773.0,71.003401
250,2307.0,6803.0,52.55102
500,2857.0,9553.0,28.996599
1000,3189.0,11213.0,14.795918
