Default GU,Interaction,Signals,Successful rate
1,3605.0,13209.0,67.772109
5,2289.0,6713.0,67.857143
10,2115.0,5843.0,67.857143
30,1983.0,5183.0,68.537415
35,1973.0,5133.0,68.537415
40,1967.0,5103.0,68.537415
50,1967.0,5103.0,68.197279
250,2305.0,6793.0,52.636054
500,2857.0,9553.0,28.996599
1000,3189.0,11213.0,14.795918
