Default GU,Interaction,Signals,Successful rate
1,2412.86,11988.6,68.55272112999998
5,1089.44,5447.2,68.56122453
10,913.54,4567.7,68.64200683000001
50,772.2,3861.0,68.6989796
250,1114.26,5571.3,52.96513589999998
500,1674.0,8370.0,28.996599000000028
1000,2006.0,10030.0,14.795918000000022
2000,2006.0,10030.0,14.795918000000022
