Number of devices,Interaction,Signals,Successful rate
2,242.0,1162.0,66.369048
3,362.0,1714.0,66.865079
4,456.0,2200.0,68.005952
5,585.0,2785.0,67.5
6,688.0,3248.0,68.650794
