Number of devices,Interaction,Signals,Successful rate
2,242.0,1170.0,66.071429
3,354.0,1698.0,67.261905
4,452.0,2164.0,68.60119
5,583.0,2775.0,67.738095
6,690.0,3330.0,67.559524
