Number of devices,Interaction,Signals,Successful rate
1,254.0,649.0,75.0
2,351.0,397.0,100.0
3,518.0,564.0,100.0
4,686.0,738.0,100.0
5,857.0,918.0,100.0
6,1028.0,1098.0,100.0
7,1199.0,1278.0,100.0
