Number of devices,Interaction,Signals,Successful rate
1,227.83,503.58,83.06547623000004
2,346.82,385.0,100.0
3,517.02,561.44,100.0
4,685.96,737.56,100.0
5,856.74,917.74,100.0
6,1027.78,1098.66,100.0
7,1199.07,1282.31,100.0
