Number of devices,Interaction,Signals,Successful rate
1,242.0,583.0,78.571429
2,349.0,395.0,100.0
3,517.0,563.0,100.0
4,686.0,738.0,100.0
5,857.0,918.0,100.0
6,1027.0,1097.0,100.0
7,1200.0,1287.0,100.0
