Number of devices,Interaction,Signals,Successful rate
1,239.0,562.0,80.357143
2,346.0,382.0,100.0
3,517.0,563.0,100.0
4,686.0,738.0,100.0
5,857.0,918.0,100.0
6,1027.0,1097.0,100.0
7,1198.0,1277.0,100.0
