Number of devices,Interaction,Signals,Successful rate
2,242.0,1170.0,66.071429
3,355.0,1691.0,67.460317
4,446.0,2150.0,68.60119
5,574.0,2750.0,67.857143
6,682.0,3290.0,67.956349
