Number of devices,Interaction,Signals,Successful rate
1,233.0,529.0,82.142857
2,346.0,382.0,100.0
3,517.0,563.0,100.0
4,684.0,736.0,100.0
5,855.0,916.0,100.0
6,1027.0,1105.0,100.0
7,1198.0,1285.0,100.0
