Number of devices,Interaction,Signals,Successful rate
1,237.0,551.0,80.952381
2,347.0,383.0,100.0
3,517.0,563.0,100.0
4,686.0,738.0,100.0
5,856.0,917.0,100.0
6,1027.0,1097.0,100.0
7,1200.0,1287.0,100.0
