Number of devices,Interaction,Signals,Successful rate
2,230.0,1110.0,67.857143
3,353.0,1705.0,67.063492
4,478.0,2278.0,66.964286
5,583.0,2775.0,67.738095
6,700.0,3332.0,67.65873
