Number of devices,Interaction,Signals,Successful rate
2,250.0,1194.0,65.77381
3,371.0,1747.0,66.468254
4,470.0,2270.0,66.964286
5,577.0,2785.0,67.5
6,700.0,3356.0,67.460317
