Number of devices,Interaction,Signals,Successful rate
2,238.0,1134.0,67.559524
3,353.0,1705.0,67.063492
4,472.0,2280.0,66.815476
5,589.0,2845.0,66.785714
6,732.0,3468.0,66.369048
