Number of devices,Interaction,Signals,Successful rate
1,243.0,584.0,79.166667
2,349.0,395.0,100.0
3,514.0,549.0,100.0
4,686.0,738.0,100.0
5,857.0,918.0,100.0
6,1028.0,1098.0,100.0
7,1200.0,1287.0,100.0
