Number of devices,Interaction,Signals,Successful rate
2,222.0,1070.0,69.345238
3,332.0,1588.0,69.642857
4,426.0,2050.0,70.238095
5,560.0,2680.0,68.928571
6,694.0,3254.0,68.551587
