Number of devices,Interaction,Signals,Successful rate
1,228.0,506.0,82.738095
2,347.0,383.0,100.0
3,517.0,563.0,100.0
4,686.0,738.0,100.0
5,857.0,918.0,100.0
6,1027.0,1097.0,100.0
7,1197.0,1276.0,100.0
