Number of devices,Interaction,Signals,Successful rate
2,240.0,1160.0,66.666667
3,352.0,1712.0,66.666667
4,466.0,2250.0,67.261905
5,571.0,2755.0,67.857143
6,700.0,3356.0,67.361111
