Number of devices,Interaction,Signals,Successful rate
2,222.0,1070.0,69.345238
3,314.0,1522.0,70.436508
4,410.0,1986.0,70.982143
5,539.0,2595.0,69.761905
6,646.0,3110.0,69.84127
