Number of devices,Interaction,Signals,Successful rate
1,110.22,551.1,68.98214305000002
2,219.42,1097.1,68.83630960999999
3,332.34,1661.7,68.61706349000004
4,440.66,2203.3,68.70089288000003
5,553.68,2768.4,68.59047613999996
6,660.74,3303.7,68.71329371000002
7,772.2,3861.0,68.6989796
