Number of devices,Interaction,Signals,Successful rate
1,287.0,759.0,67.261905
2,556.0,1428.0,69.642857
3,831.0,2127.0,69.84127
4,1106.0,2826.0,69.940476
5,1393.0,3585.0,69.285714
6,1678.0,4334.0,68.948413
