Number of devices,Interaction,Signals,Successful rate
1,96.0,480.0,73.214286
2,190.0,950.0,73.214286
3,284.0,1420.0,73.412698
4,404.0,2020.0,71.428571
5,526.0,2630.0,70.238095
6,620.0,3100.0,70.734127
7,748.0,3740.0,69.727891
