Number of devices,Interaction,Signals,Successful rate
1,285.0,749.0,67.857143
2,558.0,1438.0,69.345238
3,837.0,2157.0,69.246032
4,1116.0,2876.0,69.196429
5,1399.0,3615.0,68.928571
6,1668.0,4284.0,69.444444
