Number of devices,Interaction,Signals,Successful rate
1,291.0,779.0,66.071429
2,580.0,1548.0,66.071429
3,867.0,2307.0,66.269841
4,1150.0,3046.0,66.666667
5,1433.0,3785.0,66.904762
6,1694.0,4414.0,68.154762
