Number of devices,Interaction,Signals,Successful rate
1,293.0,789.0,65.47619
2,578.0,1538.0,66.369048
3,865.0,2297.0,66.468254
4,1148.0,3036.0,66.815476
5,1429.0,3765.0,67.142857
6,1692.0,4404.0,68.253968
