Number of devices,Interaction,Signals,Successful rate
1,267.0,659.0,73.214286
2,536.0,1328.0,72.619048
3,825.0,2097.0,70.436508
4,1112.0,2856.0,69.494048
5,1377.0,3505.0,70.238095
6,1664.0,4264.0,69.642857
