Number of devices,Interaction,Signals,Successful rate
1,116.0,580.0,67.261905
2,224.0,1120.0,68.154762
3,330.0,1650.0,68.849206
4,440.0,2200.0,68.75
5,546.0,2730.0,69.047619
6,646.0,3230.0,69.444444
7,768.0,3840.0,68.877551
