Number of devices,Interaction,Signals,Successful rate
1,118.0,590.0,66.666667
2,222.0,1110.0,68.452381
3,330.0,1650.0,68.849206
4,440.0,2200.0,68.75
5,558.0,2790.0,68.333333
6,660.0,3300.0,68.75
7,768.0,3840.0,68.877551
