Number of devices,Interaction,Signals,Successful rate
1,108.0,540.0,69.642857
2,204.0,1020.0,71.130952
3,322.0,1610.0,69.642857
4,436.0,2180.0,69.047619
5,540.0,2700.0,69.404762
6,654.0,3270.0,69.047619
7,760.0,3800.0,69.217687
