Number of devices,Interaction,Signals,Successful rate
1,118.0,590.0,66.666667
2,220.0,1100.0,68.75
3,322.0,1610.0,69.642857
4,436.0,2180.0,69.047619
5,558.0,2790.0,68.333333
6,658.0,3290.0,68.849206
7,762.0,3810.0,69.132653
