Number of devices,Interaction,Signals,Successful rate
1,112.0,560.0,68.452381
2,212.0,1060.0,69.940476
3,334.0,1670.0,68.452381
4,450.0,2250.0,68.005952
5,558.0,2790.0,68.333333
6,656.0,3280.0,68.948413
7,756.0,3780.0,69.387755
