Number of devices,Interaction,Signals,Successful rate
1,110.0,550.0,69.047619
2,228.0,1140.0,67.559524
3,348.0,1740.0,67.063492
4,468.0,2340.0,66.666667
5,584.0,2920.0,66.785714
6,696.0,3480.0,66.964286
7,820.0,4100.0,66.666667
