Number of devices,Interaction,Signals,Successful rate
1,98.0,490.0,72.619048
2,224.0,1120.0,68.154762
3,340.0,1700.0,67.857143
4,442.0,2210.0,68.60119
5,550.0,2750.0,68.809524
6,660.0,3300.0,68.75
7,768.0,3840.0,68.877551
