Number of devices,Interaction,Signals,Successful rate
1,291.0,779.0,66.071429
2,576.0,1528.0,66.666667
3,843.0,2187.0,68.650794
4,1122.0,2906.0,68.75
5,1403.0,3635.0,68.690476
6,1672.0,4304.0,69.246032
