Number of devices,Interaction,Signals,Successful rate
1,116.0,580.0,67.261905
2,220.0,1100.0,68.75
3,330.0,1650.0,68.849206
4,440.0,2200.0,68.75
5,564.0,2820.0,67.97619
6,668.0,3340.0,68.353175
7,792.0,3960.0,67.857143
