Number of devices,Interaction,Signals,Successful rate
1,96.0,480.0,73.214286
2,188.0,940.0,73.511905
3,318.0,1590.0,70.039683
4,438.0,2190.0,68.89881
5,552.0,2760.0,68.690476
6,652.0,3260.0,69.146825
7,774.0,3870.0,68.622449
