Number of devices,Interaction,Signals,Successful rate
1,289.0,769.0,66.666667
2,570.0,1498.0,67.559524
3,845.0,2197.0,68.452381
4,1110.0,2846.0,69.642857
5,1381.0,3525.0,70.0
6,1666.0,4274.0,69.543651
