Number of devices,Interaction,Signals,Successful rate
1,116.0,580.0,67.261905
2,216.0,1080.0,69.345238
3,338.0,1690.0,68.055556
4,454.0,2270.0,67.708333
5,562.0,2810.0,68.095238
6,678.0,3390.0,67.857143
7,792.0,3960.0,67.857143
