Periods,Interaction,Signals,Successful rate
1,2150.0,5934.0,68.112245
2,1509.0,5053.0,67.942177
3,1289.0,4737.0,67.942177
4,1173.0,4549.0,67.942177
5,1100.0,4436.0,67.942177
6,1046.0,4334.0,68.112245
7,1023.0,4303.0,67.942177
8,996.0,4252.0,67.942177
9,973.0,4221.0,67.942177
10,980.0,4228.0,67.857143
11,960.0,4184.0,67.857143
12,951.0,4167.0,67.857143
13,926.0,4126.0,67.857143
14,942.0,4150.0,67.857143
15,906.0,4082.0,68.112245
16,899.0,4075.0,67.942177
17,888.0,4048.0,68.112245
18,888.0,4048.0,68.112245
19,879.0,4031.0,68.112245
20,879.0,4031.0,68.112245
21,877.0,4021.0,68.112245
22,868.0,4004.0,68.112245
23,870.0,4014.0,67.942177
24,870.0,4014.0,67.942177
25,859.0,3987.0,68.112245
26,859.0,3987.0,68.112245
27,859.0,3987.0,67.942177
28,859.0,3987.0,67.942177
29,868.0,4004.0,67.857143
30,868.0,4004.0,67.857143
31,866.0,3994.0,67.857143
32,848.0,3960.0,68.112245
33,848.0,3960.0,68.112245
34,857.0,3977.0,67.857143
35,857.0,3977.0,67.857143
36,857.0,3977.0,67.857143
37,839.0,3943.0,68.112245
38,855.0,3967.0,67.857143
39,839.0,3943.0,67.942177
40,855.0,3967.0,67.857143
41,839.0,3943.0,67.942177
42,839.0,3943.0,67.942177
43,846.0,3950.0,67.857143
44,828.0,3916.0,68.112245
45,846.0,3950.0,67.857143
46,846.0,3950.0,67.857143
47,830.0,3926.0,67.942177
48,846.0,3950.0,67.857143
49,844.0,3940.0,67.857143
50,844.0,3940.0,67.857143
51,828.0,3916.0,67.942177
52,844.0,3940.0,67.857143
53,828.0,3916.0,67.942177
54,844.0,3940.0,67.857143
55,844.0,3940.0,67.857143
56,853.0,3957.0,67.857143
57,835.0,3923.0,67.857143
58,819.0,3899.0,67.942177
59,835.0,3923.0,67.857143
60,835.0,3923.0,67.857143
61,835.0,3923.0,67.857143
62,835.0,3923.0,67.857143
63,819.0,3899.0,67.942177
64,835.0,3923.0,67.857143
65,819.0,3899.0,67.942177
66,833.0,3913.0,67.857143
67,817.0,3889.0,67.942177
68,833.0,3913.0,67.857143
69,833.0,3913.0,67.857143
70,833.0,3913.0,67.857143
71,833.0,3913.0,67.857143
72,817.0,3889.0,67.942177
73,833.0,3913.0,67.857143
74,817.0,3889.0,67.942177
75,833.0,3913.0,67.857143
76,817.0,3889.0,67.942177
77,833.0,3913.0,67.857143
78,815.0,3879.0,67.942177
79,831.0,3903.0,67.857143
80,815.0,3879.0,67.942177
81,831.0,3903.0,67.857143
82,815.0,3879.0,67.942177
83,831.0,3903.0,67.857143
84,815.0,3879.0,67.942177
85,824.0,3896.0,67.857143
86,808.0,3872.0,67.942177
87,824.0,3896.0,67.857143
88,808.0,3872.0,67.942177
89,824.0,3896.0,67.857143
90,808.0,3872.0,67.942177
91,824.0,3896.0,67.857143
92,808.0,3872.0,67.942177
93,824.0,3896.0,67.857143
94,795.0,3835.0,68.112245
95,822.0,3886.0,67.857143
96,822.0,3886.0,67.857143
97,806.0,3862.0,67.942177
98,822.0,3886.0,67.857143
99,806.0,3862.0,67.942177
100,822.0,3886.0,67.857143
101,795.0,3835.0,68.112245
102,822.0,3886.0,67.857143
103,795.0,3835.0,68.112245
104,822.0,3886.0,67.857143
105,795.0,3835.0,68.112245
106,822.0,3886.0,67.857143
107,822.0,3886.0,67.857143
108,806.0,3862.0,67.942177
109,822.0,3886.0,67.857143
110,806.0,3862.0,67.942177
111,822.0,3886.0,67.857143
112,806.0,3862.0,67.942177
113,813.0,3869.0,67.857143
114,822.0,3886.0,67.857143
115,795.0,3835.0,68.112245
116,822.0,3886.0,67.857143
117,806.0,3862.0,67.942177
118,811.0,3859.0,67.857143
119,804.0,3852.0,67.942177
120,811.0,3859.0,67.857143
121,820.0,3876.0,67.857143
122,804.0,3852.0,67.942177
123,793.0,3825.0,68.112245
124,804.0,3852.0,67.942177
125,793.0,3825.0,68.112245
126,820.0,3876.0,67.857143
127,793.0,3825.0,68.112245
128,793.0,3825.0,68.112245
129,804.0,3852.0,67.942177
130,793.0,3825.0,68.112245
131,820.0,3876.0,67.857143
132,793.0,3825.0,68.112245
133,793.0,3825.0,68.112245
134,804.0,3852.0,67.942177
135,793.0,3825.0,68.112245
136,793.0,3825.0,68.112245
137,793.0,3825.0,68.112245
138,793.0,3825.0,68.112245
139,811.0,3859.0,67.857143
140,793.0,3825.0,68.112245
141,793.0,3825.0,68.112245
142,793.0,3825.0,68.112245
143,793.0,3825.0,68.112245
144,820.0,3876.0,67.857143
145,793.0,3825.0,68.112245
146,793.0,3825.0,68.112245
147,804.0,3852.0,67.942177
148,793.0,3825.0,68.112245
149,820.0,3876.0,67.857143
150,802.0,3842.0,67.942177
151,802.0,3842.0,67.942177
152,818.0,3866.0,67.857143
153,802.0,3842.0,67.942177
154,802.0,3842.0,67.942177
155,802.0,3842.0,67.942177
156,802.0,3842.0,67.942177
157,818.0,3866.0,67.857143
158,802.0,3842.0,67.942177
159,802.0,3842.0,67.942177
160,818.0,3866.0,67.857143
161,802.0,3842.0,67.942177
162,802.0,3842.0,67.942177
163,818.0,3866.0,67.857143
164,802.0,3842.0,67.942177
165,802.0,3842.0,67.942177
166,818.0,3866.0,67.857143
167,802.0,3842.0,67.942177
168,802.0,3842.0,67.942177
