Periods,Interaction,Signals,Successful rate
1,2181.0,6005.0,67.772109
2,1506.0,5066.0,67.857143
3,1282.0,4730.0,67.857143
4,1168.0,4552.0,67.857143
5,1095.0,4439.0,67.857143
6,1068.0,4388.0,67.772109
7,1034.0,4330.0,67.772109
8,1007.0,4279.0,67.772109
9,982.0,4238.0,67.772109
10,957.0,4197.0,67.942177
11,955.0,4187.0,67.772109
12,946.0,4170.0,67.772109
13,930.0,4146.0,67.772109
14,942.0,4150.0,67.772109
15,910.0,4102.0,67.942177
16,894.0,4078.0,67.857143
17,901.0,4085.0,67.772109
18,885.0,4061.0,67.857143
19,876.0,4044.0,67.857143
20,890.0,4058.0,67.772109
21,874.0,4034.0,67.857143
22,865.0,4017.0,67.857143
23,865.0,4017.0,67.857143
24,863.0,4007.0,67.857143
25,856.0,4000.0,67.857143
26,856.0,4000.0,67.857143
27,854.0,3990.0,67.857143
28,852.0,3980.0,67.942177
29,863.0,4007.0,67.772109
30,861.0,3997.0,67.772109
31,845.0,3973.0,67.857143
32,845.0,3973.0,67.857143
33,843.0,3963.0,67.942177
34,836.0,3956.0,67.857143
35,852.0,3980.0,67.772109
36,852.0,3980.0,67.772109
37,852.0,3980.0,67.772109
38,836.0,3956.0,67.857143
39,834.0,3946.0,67.857143
40,834.0,3946.0,67.857143
41,834.0,3946.0,67.857143
42,834.0,3946.0,67.857143
43,827.0,3939.0,67.857143
44,825.0,3929.0,67.857143
45,825.0,3929.0,67.857143
46,841.0,3953.0,67.772109
47,825.0,3929.0,67.857143
48,823.0,3919.0,67.857143
49,839.0,3943.0,67.772109
50,823.0,3919.0,67.857143
51,823.0,3919.0,67.857143
52,839.0,3943.0,67.772109
53,839.0,3943.0,67.772109
54,823.0,3919.0,67.857143
55,839.0,3943.0,67.772109
56,846.0,3950.0,67.772109
57,839.0,3943.0,67.772109
58,839.0,3943.0,67.772109
59,839.0,3943.0,67.772109
60,830.0,3926.0,67.772109
61,839.0,3943.0,67.772109
62,839.0,3943.0,67.772109
63,839.0,3943.0,67.772109
64,839.0,3943.0,67.772109
65,839.0,3943.0,67.772109
66,837.0,3933.0,67.772109
67,828.0,3916.0,67.772109
68,837.0,3933.0,67.772109
69,837.0,3933.0,67.772109
70,837.0,3933.0,67.772109
71,837.0,3933.0,67.772109
72,837.0,3933.0,67.772109
73,837.0,3933.0,67.772109
74,837.0,3933.0,67.772109
75,835.0,3923.0,67.772109
76,835.0,3923.0,67.772109
77,835.0,3923.0,67.772109
78,835.0,3923.0,67.772109
79,835.0,3923.0,67.772109
80,835.0,3923.0,67.772109
81,835.0,3923.0,67.772109
82,835.0,3923.0,67.772109
83,835.0,3923.0,67.772109
84,835.0,3923.0,67.772109
85,828.0,3916.0,67.772109
86,828.0,3916.0,67.772109
87,828.0,3916.0,67.772109
88,828.0,3916.0,67.772109
89,828.0,3916.0,67.772109
90,828.0,3916.0,67.772109
91,828.0,3916.0,67.772109
92,828.0,3916.0,67.772109
93,826.0,3906.0,67.772109
94,826.0,3906.0,67.772109
95,826.0,3906.0,67.772109
96,826.0,3906.0,67.772109
97,826.0,3906.0,67.772109
98,826.0,3906.0,67.772109
99,826.0,3906.0,67.772109
100,826.0,3906.0,67.772109
101,826.0,3906.0,67.772109
102,826.0,3906.0,67.772109
103,826.0,3906.0,67.772109
104,826.0,3906.0,67.772109
105,826.0,3906.0,67.772109
106,826.0,3906.0,67.772109
107,826.0,3906.0,67.772109
108,826.0,3906.0,67.772109
109,826.0,3906.0,67.772109
110,826.0,3906.0,67.772109
111,826.0,3906.0,67.772109
112,826.0,3906.0,67.772109
113,824.0,3896.0,67.772109
114,824.0,3896.0,67.772109
115,824.0,3896.0,67.772109
116,824.0,3896.0,67.772109
117,824.0,3896.0,67.772109
118,824.0,3896.0,67.772109
119,824.0,3896.0,67.772109
120,824.0,3896.0,67.772109
121,824.0,3896.0,67.772109
122,824.0,3896.0,67.772109
123,824.0,3896.0,67.772109
124,824.0,3896.0,67.772109
125,824.0,3896.0,67.772109
126,824.0,3896.0,67.772109
127,824.0,3896.0,67.772109
128,824.0,3896.0,67.772109
129,824.0,3896.0,67.772109
130,824.0,3896.0,67.772109
131,824.0,3896.0,67.772109
132,824.0,3896.0,67.772109
133,824.0,3896.0,67.772109
134,824.0,3896.0,67.772109
135,824.0,3896.0,67.772109
136,824.0,3896.0,67.772109
137,824.0,3896.0,67.772109
138,824.0,3896.0,67.772109
139,824.0,3896.0,67.772109
140,824.0,3896.0,67.772109
141,824.0,3896.0,67.772109
142,824.0,3896.0,67.772109
143,824.0,3896.0,67.772109
144,822.0,3886.0,67.772109
145,822.0,3886.0,67.772109
146,822.0,3886.0,67.772109
147,822.0,3886.0,67.772109
148,822.0,3886.0,67.772109
149,822.0,3886.0,67.772109
150,822.0,3886.0,67.772109
151,822.0,3886.0,67.772109
152,822.0,3886.0,67.772109
153,822.0,3886.0,67.772109
154,822.0,3886.0,67.772109
155,822.0,3886.0,67.772109
156,822.0,3886.0,67.772109
157,822.0,3886.0,67.772109
158,822.0,3886.0,67.772109
159,822.0,3886.0,67.772109
160,822.0,3886.0,67.772109
161,822.0,3886.0,67.772109
162,822.0,3886.0,67.772109
163,822.0,3886.0,67.772109
164,822.0,3886.0,67.772109
165,822.0,3886.0,67.772109
166,822.0,3886.0,67.772109
167,822.0,3886.0,67.772109
168,822.0,3886.0,67.772109
