Periods,Interaction,Signals,Successful rate
1,2185.0,6025.0,66.921769
2,1541.0,5157.0,66.921769
3,1326.0,4838.0,66.836735
4,1191.0,4639.0,66.921769
5,1132.0,4540.0,66.921769
6,1089.0,4465.0,66.921769
7,1055.0,4407.0,66.921769
8,1039.0,4383.0,66.921769
9,984.0,4304.0,67.006803
10,968.0,4280.0,67.006803
11,987.0,4291.0,66.921769
12,978.0,4274.0,66.921769
13,932.0,4212.0,67.006803
14,946.0,4226.0,66.921769
15,937.0,4209.0,66.921769
16,912.0,4168.0,67.006803
17,903.0,4151.0,67.006803
18,919.0,4175.0,66.921769
19,915.0,4155.0,66.921769
20,908.0,4148.0,66.921769
21,922.0,4162.0,66.921769
22,913.0,4145.0,66.921769
23,913.0,4145.0,66.921769
24,913.0,4145.0,66.921769
25,895.0,4111.0,66.921769
26,895.0,4111.0,66.921769
27,895.0,4111.0,66.921769
28,893.0,4101.0,66.921769
29,895.0,4111.0,66.921769
30,895.0,4111.0,66.921769
31,865.0,4073.0,67.006803
32,893.0,4101.0,66.921769
33,863.0,4063.0,67.006803
34,856.0,4056.0,67.006803
35,884.0,4084.0,66.921769
36,884.0,4084.0,66.921769
37,884.0,4084.0,66.921769
38,884.0,4084.0,66.921769
39,884.0,4084.0,66.921769
40,882.0,4074.0,66.921769
41,852.0,4036.0,67.006803
42,852.0,4036.0,67.006803
43,875.0,4067.0,66.921769
44,845.0,4029.0,67.006803
45,873.0,4057.0,66.921769
46,873.0,4057.0,66.921769
47,873.0,4057.0,66.921769
48,873.0,4057.0,66.921769
49,873.0,4057.0,66.921769
50,873.0,4057.0,66.921769
51,871.0,4047.0,66.921769
52,871.0,4047.0,66.921769
53,871.0,4047.0,66.921769
54,871.0,4047.0,66.921769
55,871.0,4047.0,66.921769
56,871.0,4047.0,66.921769
57,864.0,4040.0,66.921769
58,864.0,4040.0,66.921769
59,864.0,4040.0,66.921769
60,862.0,4030.0,66.921769
61,862.0,4030.0,66.921769
62,862.0,4030.0,66.921769
63,862.0,4030.0,66.921769
64,862.0,4030.0,66.921769
65,862.0,4030.0,66.921769
66,862.0,4030.0,66.921769
67,862.0,4030.0,66.921769
68,862.0,4030.0,66.921769
69,862.0,4030.0,66.921769
70,862.0,4030.0,66.921769
71,862.0,4030.0,66.921769
72,860.0,4020.0,66.921769
73,860.0,4020.0,66.921769
74,860.0,4020.0,66.921769
75,860.0,4020.0,66.921769
76,860.0,4020.0,66.921769
77,860.0,4020.0,66.921769
78,860.0,4020.0,66.921769
79,860.0,4020.0,66.921769
80,860.0,4020.0,66.921769
81,860.0,4020.0,66.921769
82,860.0,4020.0,66.921769
83,860.0,4020.0,66.921769
84,860.0,4020.0,66.921769
85,851.0,4003.0,66.921769
86,851.0,4003.0,66.921769
87,851.0,4003.0,66.921769
88,851.0,4003.0,66.921769
89,851.0,4003.0,66.921769
90,851.0,4003.0,66.921769
91,851.0,4003.0,66.921769
92,851.0,4003.0,66.921769
93,851.0,4003.0,66.921769
94,851.0,4003.0,66.921769
95,851.0,4003.0,66.921769
96,851.0,4003.0,66.921769
97,851.0,4003.0,66.921769
98,851.0,4003.0,66.921769
99,851.0,4003.0,66.921769
100,851.0,4003.0,66.921769
101,851.0,4003.0,66.921769
102,851.0,4003.0,66.921769
103,851.0,4003.0,66.921769
104,851.0,4003.0,66.921769
105,849.0,3993.0,66.921769
106,849.0,3993.0,66.921769
107,849.0,3993.0,66.921769
108,849.0,3993.0,66.921769
109,849.0,3993.0,66.921769
110,849.0,3993.0,66.921769
111,849.0,3993.0,66.921769
112,849.0,3993.0,66.921769
113,849.0,3993.0,66.921769
114,849.0,3993.0,66.921769
115,849.0,3993.0,66.921769
116,849.0,3993.0,66.921769
117,849.0,3993.0,66.921769
118,849.0,3993.0,66.921769
119,849.0,3993.0,66.921769
120,849.0,3993.0,66.921769
121,849.0,3993.0,66.921769
122,849.0,3993.0,66.921769
123,849.0,3993.0,66.921769
124,849.0,3993.0,66.921769
125,849.0,3993.0,66.921769
126,849.0,3993.0,66.921769
127,849.0,3993.0,66.921769
128,849.0,3993.0,66.921769
129,849.0,3993.0,66.921769
130,849.0,3993.0,66.921769
131,849.0,3993.0,66.921769
132,849.0,3993.0,66.921769
133,849.0,3993.0,66.921769
134,849.0,3993.0,66.921769
135,849.0,3993.0,66.921769
136,847.0,3983.0,66.921769
137,847.0,3983.0,66.921769
138,847.0,3983.0,66.921769
139,847.0,3983.0,66.921769
140,847.0,3983.0,66.921769
141,847.0,3983.0,66.921769
142,847.0,3983.0,66.921769
143,847.0,3983.0,66.921769
144,847.0,3983.0,66.921769
145,847.0,3983.0,66.921769
146,847.0,3983.0,66.921769
147,847.0,3983.0,66.921769
148,847.0,3983.0,66.921769
149,847.0,3983.0,66.921769
150,847.0,3983.0,66.921769
151,847.0,3983.0,66.921769
152,847.0,3983.0,66.921769
153,847.0,3983.0,66.921769
154,847.0,3983.0,66.921769
155,847.0,3983.0,66.921769
156,847.0,3983.0,66.921769
157,847.0,3983.0,66.921769
158,847.0,3983.0,66.921769
159,847.0,3983.0,66.921769
160,847.0,3983.0,66.921769
161,847.0,3983.0,66.921769
162,847.0,3983.0,66.921769
163,847.0,3983.0,66.921769
164,847.0,3983.0,66.921769
165,847.0,3983.0,66.921769
166,847.0,3983.0,66.921769
167,847.0,3983.0,66.921769
168,847.0,3983.0,66.921769
