Periods,Interaction,Signals,Successful rate
1,2178.0,6074.0,66.411565
2,1564.0,5244.0,66.241497
3,1342.0,4918.0,66.241497
4,1196.0,4692.0,66.411565
5,1155.0,4627.0,66.241497
6,1128.0,4576.0,66.156463
7,1078.0,4494.0,66.241497
8,1053.0,4453.0,66.241497
9,1044.0,4436.0,66.156463
10,1010.0,4378.0,66.241497
11,1001.0,4361.0,66.241497
12,960.0,4296.0,66.411565
13,940.0,4252.0,66.666667
14,938.0,4242.0,66.666667
15,929.0,4225.0,66.666667
16,920.0,4208.0,66.666667
17,931.0,4235.0,66.326531
18,931.0,4235.0,66.326531
19,938.0,4242.0,66.241497
20,900.0,4164.0,66.666667
21,900.0,4164.0,66.666667
22,929.0,4225.0,66.241497
23,927.0,4215.0,66.241497
24,891.0,4147.0,66.666667
25,882.0,4130.0,66.666667
26,882.0,4130.0,66.666667
27,882.0,4130.0,66.666667
28,932.0,4212.0,66.156463
29,925.0,4205.0,66.156463
30,925.0,4205.0,66.156463
31,923.0,4195.0,66.156463
32,871.0,4103.0,66.666667
33,871.0,4103.0,66.666667
34,864.0,4096.0,66.666667
35,898.0,4154.0,66.241497
36,898.0,4154.0,66.241497
37,862.0,4086.0,66.666667
38,862.0,4086.0,66.666667
39,898.0,4154.0,66.241497
40,896.0,4144.0,66.241497
41,860.0,4076.0,66.666667
42,896.0,4144.0,66.241497
43,889.0,4137.0,66.241497
44,889.0,4137.0,66.241497
45,851.0,4059.0,66.666667
46,851.0,4059.0,66.666667
47,851.0,4059.0,66.666667
48,851.0,4059.0,66.666667
49,851.0,4059.0,66.666667
50,851.0,4059.0,66.666667
51,903.0,4151.0,66.156463
52,894.0,4134.0,66.241497
53,894.0,4134.0,66.241497
54,894.0,4134.0,66.241497
55,894.0,4134.0,66.241497
56,894.0,4134.0,66.241497
57,887.0,4127.0,66.241497
58,887.0,4127.0,66.241497
59,887.0,4127.0,66.241497
60,887.0,4127.0,66.241497
61,887.0,4127.0,66.241497
62,885.0,4117.0,66.241497
63,853.0,4069.0,66.411565
64,885.0,4117.0,66.241497
65,840.0,4032.0,66.666667
66,885.0,4117.0,66.241497
67,885.0,4117.0,66.241497
68,885.0,4117.0,66.241497
69,885.0,4117.0,66.241497
70,853.0,4069.0,66.411565
71,885.0,4117.0,66.241497
72,853.0,4069.0,66.411565
73,883.0,4107.0,66.241497
74,851.0,4059.0,66.411565
75,883.0,4107.0,66.241497
76,851.0,4059.0,66.411565
77,883.0,4107.0,66.241497
78,851.0,4059.0,66.411565
79,883.0,4107.0,66.241497
80,851.0,4059.0,66.411565
81,883.0,4107.0,66.241497
82,851.0,4059.0,66.411565
83,883.0,4107.0,66.241497
84,851.0,4059.0,66.411565
85,876.0,4100.0,66.241497
86,844.0,4052.0,66.411565
87,876.0,4100.0,66.241497
88,874.0,4090.0,66.241497
89,874.0,4090.0,66.241497
90,858.0,4066.0,66.326531
91,874.0,4090.0,66.241497
92,858.0,4066.0,66.326531
93,874.0,4090.0,66.241497
94,858.0,4066.0,66.326531
95,874.0,4090.0,66.241497
96,858.0,4066.0,66.326531
97,874.0,4090.0,66.241497
98,874.0,4090.0,66.241497
99,842.0,4042.0,66.411565
100,874.0,4090.0,66.241497
101,842.0,4042.0,66.411565
102,874.0,4090.0,66.241497
103,842.0,4042.0,66.411565
104,874.0,4090.0,66.241497
105,858.0,4066.0,66.326531
106,874.0,4090.0,66.241497
107,872.0,4080.0,66.241497
108,872.0,4080.0,66.241497
109,872.0,4080.0,66.241497
110,872.0,4080.0,66.241497
111,872.0,4080.0,66.241497
112,872.0,4080.0,66.241497
113,872.0,4080.0,66.241497
114,872.0,4080.0,66.241497
115,872.0,4080.0,66.241497
116,872.0,4080.0,66.241497
117,872.0,4080.0,66.241497
118,872.0,4080.0,66.241497
119,872.0,4080.0,66.241497
120,872.0,4080.0,66.241497
121,872.0,4080.0,66.241497
122,872.0,4080.0,66.241497
123,872.0,4080.0,66.241497
124,872.0,4080.0,66.241497
125,872.0,4080.0,66.241497
126,872.0,4080.0,66.241497
127,872.0,4080.0,66.241497
128,872.0,4080.0,66.241497
129,872.0,4080.0,66.241497
130,872.0,4080.0,66.241497
131,872.0,4080.0,66.241497
132,872.0,4080.0,66.241497
133,872.0,4080.0,66.241497
134,872.0,4080.0,66.241497
135,872.0,4080.0,66.241497
136,870.0,4070.0,66.241497
137,870.0,4070.0,66.241497
138,870.0,4070.0,66.241497
139,870.0,4070.0,66.241497
140,870.0,4070.0,66.241497
141,870.0,4070.0,66.241497
142,870.0,4070.0,66.241497
143,870.0,4070.0,66.241497
144,870.0,4070.0,66.241497
145,870.0,4070.0,66.241497
146,870.0,4070.0,66.241497
147,870.0,4070.0,66.241497
148,870.0,4070.0,66.241497
149,870.0,4070.0,66.241497
150,870.0,4070.0,66.241497
151,870.0,4070.0,66.241497
152,870.0,4070.0,66.241497
153,870.0,4070.0,66.241497
154,870.0,4070.0,66.241497
155,870.0,4070.0,66.241497
156,870.0,4070.0,66.241497
157,870.0,4070.0,66.241497
158,870.0,4070.0,66.241497
159,870.0,4070.0,66.241497
160,870.0,4070.0,66.241497
161,870.0,4070.0,66.241497
162,870.0,4070.0,66.241497
163,870.0,4070.0,66.241497
164,870.0,4070.0,66.241497
165,870.0,4070.0,66.241497
166,870.0,4070.0,66.241497
167,870.0,4070.0,66.241497
168,870.0,4070.0,66.241497
