Periods,Interaction,Signals,Successful rate
1,2162.0,5938.0,68.197279
2,1498.0,5026.0,68.367347
3,1276.0,4700.0,68.197279
4,1176.0,4536.0,68.112245
5,1110.0,4430.0,68.112245
6,1060.0,4348.0,68.112245
7,1019.0,4283.0,68.197279
8,985.0,4225.0,68.197279
9,974.0,4198.0,68.197279
10,942.0,4150.0,68.197279
11,954.0,4154.0,68.112245
12,922.0,4106.0,68.197279
13,920.0,4096.0,68.197279
14,913.0,4089.0,68.197279
15,918.0,4086.0,68.112245
16,909.0,4069.0,68.112245
17,902.0,4062.0,68.112245
18,900.0,4052.0,68.112245
19,891.0,4035.0,68.112245
20,891.0,4035.0,68.112245
21,889.0,4025.0,68.112245
22,880.0,4008.0,68.112245
23,880.0,4008.0,68.112245
24,880.0,4008.0,68.112245
25,871.0,3991.0,68.112245
26,871.0,3991.0,68.112245
27,871.0,3991.0,68.112245
28,869.0,3981.0,68.112245
29,862.0,3974.0,68.112245
30,862.0,3974.0,68.112245
31,851.0,3947.0,68.197279
32,860.0,3964.0,68.112245
33,860.0,3964.0,68.112245
34,830.0,3926.0,68.197279
35,828.0,3916.0,68.197279
36,842.0,3930.0,68.197279
37,851.0,3947.0,68.112245
38,828.0,3916.0,68.197279
39,849.0,3937.0,68.112245
40,849.0,3937.0,68.112245
41,849.0,3937.0,68.112245
42,826.0,3906.0,68.197279
43,842.0,3930.0,68.112245
44,831.0,3903.0,68.197279
45,840.0,3920.0,68.112245
46,840.0,3920.0,68.112245
47,840.0,3920.0,68.112245
48,817.0,3889.0,68.197279
49,840.0,3920.0,68.112245
50,838.0,3910.0,68.112245
51,838.0,3910.0,68.112245
52,838.0,3910.0,68.112245
53,829.0,3893.0,68.197279
54,838.0,3910.0,68.112245
55,838.0,3910.0,68.112245
56,838.0,3910.0,68.112245
57,831.0,3903.0,68.112245
58,831.0,3903.0,68.112245
59,820.0,3876.0,68.197279
60,820.0,3876.0,68.197279
61,820.0,3876.0,68.197279
62,820.0,3876.0,68.197279
63,820.0,3876.0,68.197279
64,820.0,3876.0,68.197279
65,820.0,3876.0,68.197279
66,820.0,3876.0,68.197279
67,820.0,3876.0,68.197279
68,820.0,3876.0,68.197279
69,827.0,3883.0,68.112245
70,818.0,3866.0,68.197279
71,827.0,3883.0,68.112245
72,818.0,3866.0,68.197279
73,818.0,3866.0,68.197279
74,818.0,3866.0,68.197279
75,827.0,3883.0,68.112245
76,818.0,3866.0,68.197279
77,818.0,3866.0,68.197279
78,818.0,3866.0,68.197279
79,818.0,3866.0,68.197279
80,818.0,3866.0,68.197279
81,816.0,3856.0,68.197279
82,816.0,3856.0,68.197279
83,816.0,3856.0,68.197279
84,816.0,3856.0,68.197279
85,809.0,3849.0,68.197279
86,809.0,3849.0,68.197279
87,809.0,3849.0,68.197279
88,809.0,3849.0,68.197279
89,809.0,3849.0,68.197279
90,795.0,3835.0,68.197279
91,809.0,3849.0,68.197279
92,795.0,3835.0,68.197279
93,809.0,3849.0,68.197279
94,809.0,3849.0,68.197279
95,809.0,3849.0,68.197279
96,809.0,3849.0,68.197279
97,807.0,3839.0,68.197279
98,807.0,3839.0,68.197279
99,807.0,3839.0,68.197279
100,807.0,3839.0,68.197279
101,793.0,3825.0,68.197279
102,807.0,3839.0,68.197279
103,793.0,3825.0,68.197279
104,807.0,3839.0,68.197279
105,807.0,3839.0,68.197279
106,807.0,3839.0,68.197279
107,807.0,3839.0,68.197279
108,807.0,3839.0,68.197279
109,807.0,3839.0,68.197279
110,807.0,3839.0,68.197279
111,807.0,3839.0,68.197279
112,807.0,3839.0,68.197279
113,807.0,3839.0,68.197279
114,807.0,3839.0,68.197279
115,807.0,3839.0,68.197279
116,807.0,3839.0,68.197279
117,807.0,3839.0,68.197279
118,807.0,3839.0,68.197279
119,807.0,3839.0,68.197279
120,805.0,3829.0,68.197279
121,805.0,3829.0,68.197279
122,805.0,3829.0,68.197279
123,805.0,3829.0,68.197279
124,805.0,3829.0,68.197279
125,805.0,3829.0,68.197279
126,805.0,3829.0,68.197279
127,805.0,3829.0,68.197279
128,805.0,3829.0,68.197279
129,805.0,3829.0,68.197279
130,805.0,3829.0,68.197279
131,805.0,3829.0,68.197279
132,805.0,3829.0,68.197279
133,805.0,3829.0,68.197279
134,805.0,3829.0,68.197279
135,805.0,3829.0,68.197279
136,805.0,3829.0,68.197279
137,805.0,3829.0,68.197279
138,805.0,3829.0,68.197279
139,805.0,3829.0,68.197279
140,805.0,3829.0,68.197279
141,805.0,3829.0,68.197279
142,805.0,3829.0,68.197279
143,805.0,3829.0,68.197279
144,805.0,3829.0,68.197279
145,805.0,3829.0,68.197279
146,805.0,3829.0,68.197279
147,805.0,3829.0,68.197279
148,805.0,3829.0,68.197279
149,803.0,3819.0,68.197279
150,803.0,3819.0,68.197279
151,803.0,3819.0,68.197279
152,803.0,3819.0,68.197279
153,803.0,3819.0,68.197279
154,803.0,3819.0,68.197279
155,803.0,3819.0,68.197279
156,803.0,3819.0,68.197279
157,803.0,3819.0,68.197279
158,803.0,3819.0,68.197279
159,803.0,3819.0,68.197279
160,803.0,3819.0,68.197279
161,803.0,3819.0,68.197279
162,803.0,3819.0,68.197279
163,803.0,3819.0,68.197279
164,803.0,3819.0,68.197279
165,803.0,3819.0,68.197279
166,803.0,3819.0,68.197279
167,803.0,3819.0,68.197279
168,803.0,3819.0,68.197279
