Periods,Interaction,Signals,Successful rate
1,2177.0,5985.0,67.772109
2,1538.0,5114.0,67.772109
3,1282.0,4730.0,67.857143
4,1189.0,4573.0,67.772109
5,1107.0,4443.0,67.857143
6,1082.0,4402.0,67.772109
7,1030.0,4310.0,67.857143
8,993.0,4265.0,67.857143
9,996.0,4252.0,67.772109
10,971.0,4211.0,67.857143
11,969.0,4201.0,67.772109
12,930.0,4146.0,67.857143
13,914.0,4122.0,67.857143
14,942.0,4150.0,67.772109
15,903.0,4095.0,67.857143
16,894.0,4078.0,67.857143
17,885.0,4061.0,67.857143
18,885.0,4061.0,67.857143
19,876.0,4044.0,67.857143
20,906.0,4082.0,67.772109
21,904.0,4072.0,67.772109
22,897.0,4065.0,67.772109
23,895.0,4055.0,67.772109
24,895.0,4055.0,67.772109
25,886.0,4038.0,67.772109
26,886.0,4038.0,67.772109
27,875.0,4011.0,67.857143
28,854.0,3990.0,67.857143
29,847.0,3983.0,67.857143
30,845.0,3973.0,67.857143
31,875.0,4011.0,67.772109
32,845.0,3973.0,67.857143
33,845.0,3973.0,67.857143
34,836.0,3956.0,67.857143
35,866.0,3994.0,67.772109
36,836.0,3956.0,67.857143
37,866.0,3994.0,67.772109
38,834.0,3946.0,67.857143
39,864.0,3984.0,67.772109
40,864.0,3984.0,67.772109
41,834.0,3946.0,67.857143
42,834.0,3946.0,67.857143
43,825.0,3929.0,67.857143
44,825.0,3929.0,67.857143
45,825.0,3929.0,67.857143
46,855.0,3967.0,67.772109
47,825.0,3929.0,67.857143
48,825.0,3929.0,67.857143
49,853.0,3957.0,67.772109
50,823.0,3919.0,67.857143
51,853.0,3957.0,67.772109
52,823.0,3919.0,67.857143
53,823.0,3919.0,67.857143
54,853.0,3957.0,67.772109
55,823.0,3919.0,67.857143
56,853.0,3957.0,67.772109
57,844.0,3940.0,67.772109
58,814.0,3902.0,67.857143
59,844.0,3940.0,67.772109
60,814.0,3902.0,67.857143
61,844.0,3940.0,67.772109
62,814.0,3902.0,67.857143
63,814.0,3902.0,67.857143
64,844.0,3940.0,67.772109
65,814.0,3902.0,67.857143
66,842.0,3930.0,67.772109
67,812.0,3892.0,67.857143
68,842.0,3930.0,67.772109
69,833.0,3913.0,67.857143
70,842.0,3930.0,67.772109
71,812.0,3892.0,67.857143
72,842.0,3930.0,67.772109
73,812.0,3892.0,67.857143
74,812.0,3892.0,67.857143
75,842.0,3930.0,67.772109
76,812.0,3892.0,67.857143
77,842.0,3930.0,67.772109
78,812.0,3892.0,67.857143
79,840.0,3920.0,67.772109
80,840.0,3920.0,67.772109
81,840.0,3920.0,67.772109
82,840.0,3920.0,67.772109
83,840.0,3920.0,67.772109
84,840.0,3920.0,67.772109
85,833.0,3913.0,67.772109
86,833.0,3913.0,67.772109
87,833.0,3913.0,67.772109
88,833.0,3913.0,67.772109
89,833.0,3913.0,67.772109
90,833.0,3913.0,67.772109
91,833.0,3913.0,67.772109
92,833.0,3913.0,67.772109
93,833.0,3913.0,67.772109
94,833.0,3913.0,67.772109
95,833.0,3913.0,67.772109
96,833.0,3913.0,67.772109
97,831.0,3903.0,67.772109
98,831.0,3903.0,67.772109
99,831.0,3903.0,67.772109
100,831.0,3903.0,67.772109
101,831.0,3903.0,67.772109
102,831.0,3903.0,67.772109
103,831.0,3903.0,67.772109
104,831.0,3903.0,67.772109
105,831.0,3903.0,67.772109
106,831.0,3903.0,67.772109
107,831.0,3903.0,67.772109
108,831.0,3903.0,67.772109
109,831.0,3903.0,67.772109
110,831.0,3903.0,67.772109
111,831.0,3903.0,67.772109
112,831.0,3903.0,67.772109
113,831.0,3903.0,67.772109
114,831.0,3903.0,67.772109
115,831.0,3903.0,67.772109
116,831.0,3903.0,67.772109
117,831.0,3903.0,67.772109
118,829.0,3893.0,67.772109
119,829.0,3893.0,67.772109
120,829.0,3893.0,67.772109
121,829.0,3893.0,67.772109
122,829.0,3893.0,67.772109
123,829.0,3893.0,67.772109
124,829.0,3893.0,67.772109
125,829.0,3893.0,67.772109
126,829.0,3893.0,67.772109
127,829.0,3893.0,67.772109
128,829.0,3893.0,67.772109
129,829.0,3893.0,67.772109
130,829.0,3893.0,67.772109
131,829.0,3893.0,67.772109
132,829.0,3893.0,67.772109
133,829.0,3893.0,67.772109
134,829.0,3893.0,67.772109
135,829.0,3893.0,67.772109
136,829.0,3893.0,67.772109
137,829.0,3893.0,67.772109
138,829.0,3893.0,67.772109
139,829.0,3893.0,67.772109
140,829.0,3893.0,67.772109
141,829.0,3893.0,67.772109
142,829.0,3893.0,67.772109
143,829.0,3893.0,67.772109
144,829.0,3893.0,67.772109
145,829.0,3893.0,67.772109
146,829.0,3893.0,67.772109
147,829.0,3893.0,67.772109
148,829.0,3893.0,67.772109
149,827.0,3883.0,67.772109
150,827.0,3883.0,67.772109
151,827.0,3883.0,67.772109
152,827.0,3883.0,67.772109
153,827.0,3883.0,67.772109
154,827.0,3883.0,67.772109
155,827.0,3883.0,67.772109
156,827.0,3883.0,67.772109
157,827.0,3883.0,67.772109
158,827.0,3883.0,67.772109
159,827.0,3883.0,67.772109
160,827.0,3883.0,67.772109
161,827.0,3883.0,67.772109
162,827.0,3883.0,67.772109
163,827.0,3883.0,67.772109
164,827.0,3883.0,67.772109
165,827.0,3883.0,67.772109
166,827.0,3883.0,67.772109
167,827.0,3883.0,67.772109
168,827.0,3883.0,67.772109
