Periods,Interaction,Signals,Successful rate
1,2153.0,5977.0,67.431973
2,1521.0,5113.0,67.261905
3,1299.0,4787.0,67.261905
4,1178.0,4602.0,67.431973
5,1105.0,4489.0,67.346939
6,1062.0,4414.0,67.346939
7,1028.0,4356.0,67.346939
8,1010.0,4322.0,67.261905
9,1008.0,4312.0,67.261905
10,958.0,4230.0,67.431973
11,951.0,4223.0,67.346939
12,956.0,4220.0,67.261905
13,922.0,4162.0,67.431973
14,920.0,4152.0,67.431973
15,913.0,4145.0,67.431973
16,904.0,4128.0,67.431973
17,913.0,4145.0,67.261905
18,911.0,4135.0,67.261905
19,904.0,4128.0,67.261905
20,884.0,4084.0,67.431973
21,884.0,4084.0,67.431973
22,875.0,4067.0,67.431973
23,875.0,4067.0,67.431973
24,891.0,4091.0,67.261905
25,884.0,4084.0,67.261905
26,884.0,4084.0,67.261905
27,864.0,4040.0,67.431973
28,864.0,4040.0,67.431973
29,857.0,4033.0,67.431973
30,855.0,4023.0,67.431973
31,855.0,4023.0,67.431973
32,873.0,4057.0,67.261905
33,853.0,4013.0,67.431973
34,846.0,4006.0,67.431973
35,846.0,4006.0,67.431973
36,846.0,4006.0,67.431973
37,862.0,4030.0,67.261905
38,862.0,4030.0,67.261905
39,844.0,3996.0,67.431973
40,844.0,3996.0,67.431973
41,862.0,4030.0,67.261905
42,842.0,3986.0,67.431973
43,835.0,3979.0,67.431973
44,835.0,3979.0,67.431973
45,835.0,3979.0,67.431973
46,835.0,3979.0,67.431973
47,835.0,3979.0,67.431973
48,833.0,3969.0,67.431973
49,833.0,3969.0,67.431973
50,833.0,3969.0,67.431973
51,833.0,3969.0,67.431973
52,833.0,3969.0,67.431973
53,833.0,3969.0,67.431973
54,833.0,3969.0,67.431973
55,829.0,3949.0,67.517007
56,849.0,3993.0,67.261905
57,822.0,3942.0,67.517007
58,842.0,3986.0,67.261905
59,822.0,3942.0,67.517007
60,822.0,3942.0,67.517007
61,822.0,3942.0,67.517007
62,847.0,3983.0,67.261905
63,842.0,3986.0,67.261905
64,822.0,3942.0,67.517007
65,840.0,3976.0,67.261905
66,845.0,3973.0,67.261905
67,820.0,3932.0,67.517007
68,840.0,3976.0,67.261905
69,820.0,3932.0,67.517007
70,840.0,3976.0,67.261905
71,820.0,3932.0,67.517007
72,840.0,3976.0,67.261905
73,820.0,3932.0,67.517007
74,840.0,3976.0,67.261905
75,820.0,3932.0,67.517007
76,840.0,3976.0,67.261905
77,820.0,3932.0,67.517007
78,843.0,3963.0,67.261905
79,838.0,3966.0,67.261905
80,843.0,3963.0,67.261905
81,838.0,3966.0,67.261905
82,843.0,3963.0,67.261905
83,818.0,3922.0,67.517007
84,843.0,3963.0,67.261905
85,811.0,3915.0,67.517007
86,836.0,3956.0,67.261905
87,811.0,3915.0,67.517007
88,836.0,3956.0,67.261905
89,811.0,3915.0,67.517007
90,811.0,3915.0,67.517007
91,836.0,3956.0,67.261905
92,811.0,3915.0,67.517007
93,809.0,3905.0,67.517007
94,829.0,3949.0,67.261905
95,809.0,3905.0,67.517007
96,829.0,3949.0,67.261905
97,822.0,3942.0,67.346939
98,809.0,3905.0,67.517007
99,822.0,3942.0,67.346939
100,809.0,3905.0,67.517007
101,822.0,3942.0,67.346939
102,809.0,3905.0,67.517007
103,822.0,3942.0,67.346939
104,838.0,3966.0,67.261905
105,809.0,3905.0,67.517007
106,838.0,3966.0,67.261905
107,809.0,3905.0,67.517007
108,838.0,3966.0,67.261905
109,838.0,3966.0,67.261905
110,809.0,3905.0,67.517007
111,838.0,3966.0,67.261905
112,809.0,3905.0,67.517007
113,809.0,3905.0,67.517007
114,838.0,3966.0,67.261905
115,807.0,3895.0,67.517007
116,807.0,3895.0,67.517007
117,807.0,3895.0,67.517007
118,807.0,3895.0,67.517007
119,820.0,3932.0,67.346939
120,807.0,3895.0,67.517007
121,807.0,3895.0,67.517007
122,807.0,3895.0,67.517007
123,807.0,3895.0,67.517007
124,807.0,3895.0,67.517007
125,807.0,3895.0,67.517007
126,807.0,3895.0,67.517007
127,820.0,3932.0,67.346939
128,807.0,3895.0,67.517007
129,820.0,3932.0,67.346939
130,809.0,3905.0,67.431973
131,807.0,3895.0,67.517007
132,807.0,3895.0,67.517007
133,807.0,3895.0,67.517007
134,807.0,3895.0,67.517007
135,807.0,3895.0,67.517007
136,807.0,3895.0,67.517007
137,807.0,3895.0,67.517007
138,836.0,3956.0,67.261905
139,807.0,3895.0,67.517007
140,807.0,3895.0,67.517007
141,827.0,3939.0,67.261905
142,807.0,3895.0,67.517007
143,807.0,3895.0,67.517007
144,805.0,3885.0,67.517007
145,805.0,3885.0,67.517007
146,805.0,3885.0,67.517007
147,805.0,3885.0,67.517007
148,805.0,3885.0,67.517007
149,805.0,3885.0,67.517007
150,805.0,3885.0,67.517007
151,805.0,3885.0,67.517007
152,818.0,3922.0,67.346939
153,805.0,3885.0,67.517007
154,805.0,3885.0,67.517007
155,818.0,3922.0,67.346939
156,805.0,3885.0,67.517007
157,805.0,3885.0,67.517007
158,805.0,3885.0,67.517007
159,805.0,3885.0,67.517007
160,805.0,3885.0,67.517007
161,834.0,3946.0,67.261905
162,805.0,3885.0,67.517007
163,805.0,3885.0,67.517007
164,805.0,3885.0,67.517007
165,805.0,3885.0,67.517007
166,805.0,3885.0,67.517007
167,805.0,3885.0,67.517007
168,805.0,3885.0,67.517007
